# wavelength[A] tau flux flux_error
1.152350e+03 0.000000e+00 9.695849e-01 1.799509e-01
1.152360e+03 0.000000e+00 9.694018e-01 1.799339e-01
1.152370e+03 0.000000e+00 1.024657e+00 1.849909e-01
1.152380e+03 0.000000e+00 9.878960e-01 1.816422e-01
1.152390e+03 0.000000e+00 1.039197e+00 1.862988e-01
1.152400e+03 0.000000e+00 1.029202e+00 1.854008e-01
1.152410e+03 0.000000e+00 9.539468e-01 1.784938e-01
1.152420e+03 0.000000e+00 1.015192e+00 1.841346e-01
1.152430e+03 0.000000e+00 9.876728e-01 1.816217e-01
1.152440e+03 0.000000e+00 1.062698e+00 1.883936e-01
1.152450e+03 0.000000e+00 9.767128e-01 1.806112e-01
1.152460e+03 0.000000e+00 9.661339e-01 1.796304e-01
1.152470e+03 0.000000e+00 9.959658e-01 1.823826e-01
1.152480e+03 0.000000e+00 1.009863e+00 1.836506e-01
1.152490e+03 0.000000e+00 1.068495e+00 1.889067e-01
1.152500e+03 0.000000e+00 9.895734e-01 1.817963e-01
1.152510e+03 0.000000e+00 9.628438e-01 1.793243e-01
1.152520e+03 0.000000e+00 9.804609e-01 1.809574e-01
1.152530e+03 0.000000e+00 9.671133e-01 1.797214e-01
1.152540e+03 0.000000e+00 9.493857e-01 1.780666e-01
1.152550e+03 0.000000e+00 1.022746e+00 1.848183e-01
1.152560e+03 0.000000e+00 1.014631e+00 1.840836e-01
1.152570e+03 0.000000e+00 1.070699e+00 1.891015e-01
1.152580e+03 0.000000e+00 9.465417e-01 1.777997e-01
1.152590e+03 0.000000e+00 9.736458e-01 1.803274e-01
1.152600e+03 0.000000e+00 9.824547e-01 1.811413e-01
1.152610e+03 0.000000e+00 1.017693e+00 1.843612e-01
1.152620e+03 0.000000e+00 9.710830e-01 1.800899e-01
1.152630e+03 0.000000e+00 1.048208e+00 1.871048e-01
1.152640e+03 0.000000e+00 9.926542e-01 1.820791e-01
1.152650e+03 0.000000e+00 1.008613e+00 1.835369e-01
1.152660e+03 0.000000e+00 1.020485e+00 1.846140e-01
1.152670e+03 0.000000e+00 9.600310e-01 1.790621e-01
1.152680e+03 0.000000e+00 1.049427e+00 1.872135e-01
1.152690e+03 0.000000e+00 9.918195e-01 1.820025e-01
1.152700e+03 0.000000e+00 1.034746e+00 1.858994e-01
1.152710e+03 0.000000e+00 1.012770e+00 1.839147e-01
1.152720e+03 0.000000e+00 9.802568e-01 1.809385e-01
1.152730e+03 0.000000e+00 9.380688e-01 1.770021e-01
1.152740e+03 0.000000e+00 1.039484e+00 1.863245e-01
1.152750e+03 0.000000e+00 9.631794e-01 1.793555e-01
1.152760e+03 0.000000e+00 1.004108e+00 1.831266e-01
1.152770e+03 0.000000e+00 1.022703e+00 1.848144e-01
1.152780e+03 0.000000e+00 9.970256e-01 1.824796e-01
1.152790e+03 0.000000e+00 1.026336e+00 1.851424e-01
1.152800e+03 0.000000e+00 9.989543e-01 1.826560e-01
1.152810e+03 0.000000e+00 1.014937e+00 1.841114e-01
1.152820e+03 0.000000e+00 9.979657e-01 1.825656e-01
1.152830e+03 0.000000e+00 1.008242e+00 1.835031e-01
1.152840e+03 0.000000e+00 9.612780e-01 1.791784e-01
1.152850e+03 0.000000e+00 9.897655e-01 1.818140e-01
1.152860e+03 0.000000e+00 1.051273e+00 1.873781e-01
1.152870e+03 0.000000e+00 9.864304e-01 1.815074e-01
1.152880e+03 0.000000e+00 1.032336e+00 1.856827e-01
1.152890e+03 0.000000e+00 9.818104e-01 1.810819e-01
1.152900e+03 0.000000e+00 9.786072e-01 1.807862e-01
1.152910e+03 0.000000e+00 9.896459e-01 1.818030e-01
1.152920e+03 0.000000e+00 1.011765e+00 1.838235e-01
1.152930e+03 0.000000e+00 9.776042e-01 1.806936e-01
1.152940e+03 0.000000e+00 1.075290e+00 1.895064e-01
1.152950e+03 0.000000e+00 1.024714e+00 1.849961e-01
1.152960e+03 0.000000e+00 9.564384e-01 1.787268e-01
1.152970e+03 0.000000e+00 1.061189e+00 1.882598e-01
1.152980e+03 0.000000e+00 1.029733e+00 1.854485e-01
1.152990e+03 0.000000e+00 1.020889e+00 1.846504e-01
1.153000e+03 0.000000e+00 1.001512e+00 1.828897e-01
1.153010e+03 0.000000e+00 1.012100e+00 1.838539e-01
1.153020e+03 0.000000e+00 1.014225e+00 1.840468e-01
1.153030e+03 0.000000e+00 9.882568e-01 1.816754e-01
1.153040e+03 0.000000e+00 1.008280e+00 1.835066e-01
1.153050e+03 0.000000e+00 9.823480e-01 1.811314e-01
1.153060e+03 0.000000e+00 1.037417e+00 1.861392e-01
1.153070e+03 0.000000e+00 1.014924e+00 1.841102e-01
1.153080e+03 0.000000e+00 9.873142e-01 1.815887e-01
1.153090e+03 0.000000e+00 8.920792e-01 1.726088e-01
1.153100e+03 0.000000e+00 1.035855e+00 1.859990e-01
1.153110e+03 0.000000e+00 9.877807e-01 1.816316e-01
1.153120e+03 0.000000e+00 9.864428e-01 1.815085e-01
1.153130e+03 0.000000e+00 1.001439e+00 1.828830e-01
1.153140e+03 0.000000e+00 9.965160e-01 1.824329e-01
1.153150e+03 0.000000e+00 9.938254e-01 1.821865e-01
1.153160e+03 0.000000e+00 9.838889e-01 1.812734e-01
1.153170e+03 0.000000e+00 9.884554e-01 1.816936e-01
1.153180e+03 0.000000e+00 1.009076e+00 1.835790e-01
1.153190e+03 0.000000e+00 1.014352e+00 1.840583e-01
1.153200e+03 0.000000e+00 1.036876e+00 1.860906e-01
1.153210e+03 0.000000e+00 1.065674e+00 1.886572e-01
1.153220e+03 0.000000e+00 9.427495e-01 1.774432e-01
1.153230e+03 0.000000e+00 9.998110e-01 1.827343e-01
1.153240e+03 0.000000e+00 1.036903e+00 1.860930e-01
1.153250e+03 0.000000e+00 1.021307e+00 1.846882e-01
1.153260e+03 0.000000e+00 1.000815e+00 1.828260e-01
1.153270e+03 0.000000e+00 1.075987e+00 1.895678e-01
1.153280e+03 0.000000e+00 1.022570e+00 1.848024e-01
1.153290e+03 0.000000e+00 1.061711e+00 1.883060e-01
1.153300e+03 0.000000e+00 9.918808e-01 1.820082e-01
1.153310e+03 0.000000e+00 1.018289e+00 1.844152e-01
1.153320e+03 0.000000e+00 1.008360e+00 1.835139e-01
1.153330e+03 0.000000e+00 1.026001e+00 1.851121e-01
1.153340e+03 0.000000e+00 1.046344e+00 1.869383e-01
1.153350e+03 0.000000e+00 9.996421e-01 1.827189e-01
1.153360e+03 0.000000e+00 9.644962e-01 1.794781e-01
1.153370e+03 0.000000e+00 9.769319e-01 1.806314e-01
1.153380e+03 0.000000e+00 9.551964e-01 1.786107e-01
1.153390e+03 0.000000e+00 9.973783e-01 1.825119e-01
1.153400e+03 0.000000e+00 9.425614e-01 1.774255e-01
1.153410e+03 0.000000e+00 1.008887e+00 1.835618e-01
