# wavelength[A] tau flux flux_error
1.152650e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152660e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152670e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152680e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152690e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152700e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152710e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152720e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152730e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152740e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152750e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152760e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152770e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152780e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152790e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152800e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152810e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152820e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152830e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152840e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152850e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152860e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152870e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152880e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152890e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152900e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152910e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152920e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152930e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152940e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152950e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152960e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152970e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152980e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.152990e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.153000e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.153010e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.153020e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.153030e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.153040e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.153050e+03 0.000000e+00 1.000000e+00 1.000000e-01
