# wavelength[A] tau flux flux_error
1.001360e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001370e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001380e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001390e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001400e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001410e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001420e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001430e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001440e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001450e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001460e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001470e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001480e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001490e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001500e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001510e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001520e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001530e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001540e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001550e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001560e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001570e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001580e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001590e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001600e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001610e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001620e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001630e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001640e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001650e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001660e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001670e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001680e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001690e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001700e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001710e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001720e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001730e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001740e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001750e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001760e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001770e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001780e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001790e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001800e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001810e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001820e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001830e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001840e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001850e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001860e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001870e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001880e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001890e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001900e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001910e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001920e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001930e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001940e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001950e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001960e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001970e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001980e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.001990e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002000e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002010e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002020e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002030e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002040e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002050e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002060e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002070e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002080e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002090e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002100e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002110e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002120e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002130e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002140e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002150e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002160e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002170e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002180e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002190e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002200e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002210e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002220e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002230e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002240e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002250e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002260e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002270e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002280e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002290e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002300e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002310e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002320e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002330e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002340e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002350e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002360e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002370e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002380e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002390e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002400e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002410e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002420e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002430e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002440e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002450e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002460e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002470e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002480e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002490e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002500e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002510e+03 0.000000e+00 1.000000e+00 1.000000e-01
1.002520e+03 0.000000e+00 1.000000e+00 1.000000e-01
